,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
3694,2015,BMTCB,Biomass total consumption,NM,New Mexico,20804,Billion Btu
3695,2015,BMTCB,Biomass total consumption,RI,Rhode Island,7992,Billion Btu
3696,2015,HYTCB,Hydropower total consumption,MO,Missouri,14856,Billion Btu
3697,2015,SOTCB,Solar energy total consumption,ID,Idaho,81,Billion Btu
3698,2015,HYTCB,Hydropower total consumption,HI,Hawaii,1129,Billion Btu
3699,2015,SOTCB,Solar energy total consumption,VA,Virginia,803,Billion Btu
3700,2015,HYTCP,Hydroelectricity total net generation,MN,Minnesota,849,Million kilowatthours
3701,2015,WYTCB,Wind energy total consumption,NH,New Hampshire,3944,Billion Btu
3702,2015,HYTCB,Hydropower total consumption,NH,New Hampshire,11831,Billion Btu
3703,2015,WYTCB,Wind energy total consumption,IL,Illinois,100100,Billion Btu
3704,2015,BMTCB,Biomass total consumption,NH,New Hampshire,51507,Billion Btu
3705,2015,BMTCB,Biomass total consumption,AZ,Arizona,35397,Billion Btu
3706,2015,BMTCB,Biomass total consumption,WA,Washington,140355,Billion Btu
3707,2015,GETCB,Geothermal energy total consumption,MA,Massachusetts,859,Billion Btu
3708,2015,WYTCB,Wind energy total consumption,IN,Indiana,42054,Billion Btu
3709,2015,BMTCB,Biomass total consumption,GA,Georgia,270333,Billion Btu
3710,2015,GETCB,Geothermal energy total consumption,AZ,Arizona,345,Billion Btu
3711,2015,SOTCB,Solar energy total consumption,OR,Oregon,2429,Billion Btu
3712,2015,WYTCP,Wind electricity total net generation,RI,Rhode Island,10,Million kilowatthours
3713,2015,GEEGP,Geothermal electricity net generation in the electric power sector,MT,Montana,0,Million kilowatthours
3714,2015,WYTCP,Wind electricity total net generation,DC,District of Columbia,0,Million kilowatthours
3715,2015,HYTCP,Hydroelectricity total net generation,NE,Nebraska,1685,Million kilowatthours
3716,2015,WYTCP,Wind electricity total net generation,WY,Wyoming,3757,Million kilowatthours
3717,2015,WYTCP,Wind electricity total net generation,OH,Ohio,1203,Million kilowatthours
3718,2015,GEEGP,Geothermal electricity net generation in the electric power sector,VT,Vermont,0,Million kilowatthours
3719,2015,HYTCP,Hydroelectricity total net generation,MA,Massachusetts,827,Million kilowatthours
3720,2015,WYTCB,Wind energy total consumption,NJ,New Jersey,201,Billion Btu
3721,2015,SOTCB,Solar energy total consumption,CT,Connecticut,2951,Billion Btu
