,Year,State,BiofuelsProduction,BiomassConsumption,GeothermalProduction,GeothermalConsumption,HydropowerConsumption,HydropowerProduction,SolarConsumption,SolarProduction,WoodWasteProduction,WindConsumption,WindProduction,Unit
138,1993,NY,0.0,117581.0,0.0,137.0,100461.0,100463.696906,326.0,3.412142,117294.0,0.0,0.0,Billion Btu
139,1993,OH,7184.0,63582.0,0.0,432.0,647.0,648.30698,27.0,0.0,44170.0,0.0,0.0,Billion Btu
140,1993,OK,0.0,22946.0,0.0,1.0,14868.0,14866.702694,89.0,0.0,22946.0,0.0,0.0,Billion Btu
141,1993,OR,0.0,46636.0,0.0,413.0,122368.0,122373.060688,412.0,0.0,43603.0,0.0,0.0,Billion Btu
142,1993,PA,0.0,80254.0,0.0,301.0,8109.0,8107.249392,463.0,0.0,79500.0,0.0,0.0,Billion Btu
143,1993,RI,0.0,5041.0,0.0,0.0,32.0,30.709277999999998,43.0,0.0,5041.0,0.0,0.0,Billion Btu
144,1993,SC,0.0,79694.0,0.0,102.0,10066.0,10065.8189,16.0,0.0,79694.0,0.0,0.0,Billion Btu
145,1993,SD,1201.0,4270.0,0.0,216.0,8841.0,8840.859922,0.0,0.0,2112.0,0.0,0.0,Billion Btu
146,1993,TN,5681.0,59674.0,0.0,33.0,30552.0,30552.319467999998,60.0,0.0,55133.0,0.0,0.0,Billion Btu
147,1993,TX,0.0,98558.0,0.0,339.0,6095.0,6094.085612,430.0,3.412142,98038.0,0.0,0.0,Billion Btu
148,1993,US,169335.0,2906004.0,57286.452037999996,69783.0,957046.0,957085.358148,61682.0,1723.1317099999999,2736942.0,10256.0,10256.898852,Billion Btu
149,1993,UT,0.0,3794.0,504.997016,920.0,2934.0,2934.4421199999997,40.0,0.0,3727.0,0.0,0.0,Billion Btu
150,1993,VA,598.0,105242.0,0.0,205.0,4481.0,4480.142446,128.0,0.0,104802.0,0.0,0.0,Billion Btu
151,1993,VT,0.0,8114.0,0.0,0.0,3348.0,3347.3113019999996,7.0,0.0,8114.0,0.0,0.0,Billion Btu
152,1993,WA,731.0,103527.0,0.0,133.0,229670.0,229678.102304,374.0,0.0,96463.0,0.0,0.0,Billion Btu
153,1993,WI,0.0,79885.0,0.0,98.0,8484.0,8485.997153999999,217.0,0.0,78650.0,0.0,0.0,Billion Btu
154,1993,WV,0.0,7167.0,0.0,0.0,3801.0,3801.1261879999997,31.0,0.0,6942.0,0.0,0.0,Billion Btu
155,1993,WY,0.0,1981.0,0.0,649.0,2687.0,2685.3557539999997,2.0,0.0,1440.0,0.0,0.0,Billion Btu
156,1994,AK,0.0,9659.0,0.0,51.0,4591.0,4589.3309899999995,1.0,0.0,9656.0,0.0,0.0,Billion Btu
157,1994,AL,0.0,215932.0,0.0,14.0,38996.0,38997.370918,153.0,0.0,214463.0,0.0,0.0,Billion Btu
158,1994,AR,0.0,82506.0,0.0,123.0,11815.0,11816.247746,1259.0,0.0,82478.0,0.0,0.0,Billion Btu
159,1994,AZ,0.0,14181.0,0.0,236.0,25131.0,25130.42583,3833.0,0.0,13459.0,0.0,0.0,Billion Btu
160,1994,CA,754.0,195852.0,46609.85972,48329.0,78519.0,78523.623846,21515.0,1784.550266,192715.0,11557.0,11556.924954,Billion Btu
161,1994,CO,175.0,12746.0,0.0,406.0,5268.0,5268.347248,205.0,0.0,10627.0,0.0,0.0,Billion Btu
162,1994,CT,0.0,35727.0,0.0,0.0,1642.0,1641.240302,133.0,0.0,35346.0,0.0,0.0,Billion Btu
163,1994,DC,0.0,1848.0,0.0,0.0,0.0,0.0,0.0,0.0,1848.0,0.0,0.0,Billion Btu
164,1994,DE,0.0,2330.0,0.0,63.0,0.0,0.0,28.0,0.0,2330.0,0.0,0.0,Billion Btu
165,1994,FL,0.0,182190.0,0.0,1521.0,937.0,934.9269079999999,29387.0,0.0,181822.0,0.0,0.0,Billion Btu
166,1994,GA,0.0,196067.0,0.0,46.0,14779.0,14777.987002,143.0,0.0,195956.0,0.0,0.0,Billion Btu
167,1994,HI,0.0,20724.0,631.24627,633.0,476.0,474.287738,1117.0,0.0,20724.0,69.0,68.24284,Billion Btu
168,1994,IA,61972.0,74190.0,0.0,167.0,3654.0,3654.4040819999996,9.0,0.0,40818.0,0.0,0.0,Billion Btu
169,1994,ID,877.0,24060.0,0.0,535.0,27010.0,27010.516072,2.0,0.0,23622.0,0.0,0.0,Billion Btu
170,1994,IL,69835.0,99239.0,0.0,310.0,412.0,412.86918199999997,84.0,0.0,51009.0,0.0,0.0,Billion Btu
171,1994,IN,10188.0,46872.0,0.0,670.0,1388.0,1388.7417939999998,24.0,0.0,36335.0,0.0,0.0,Billion Btu
172,1994,KS,4727.0,12823.0,0.0,121.0,34.0,34.12142,37.0,0.0,10291.0,0.0,0.0,Billion Btu
173,1994,KY,0.0,15791.0,0.0,366.0,13694.0,13696.337988,4.0,0.0,14897.0,0.0,0.0,Billion Btu
174,1994,LA,0.0,137993.0,0.0,233.0,3316.0,3316.602024,72.0,0.0,136914.0,0.0,0.0,Billion Btu
175,1994,MA,0.0,63487.0,0.0,96.0,3200.0,3200.589196,214.0,3.412142,63487.0,0.0,0.0,Billion Btu
176,1994,MD,0.0,32125.0,0.0,83.0,6857.0,6858.405419999999,51.0,0.0,32125.0,0.0,0.0,Billion Btu
177,1994,ME,0.0,120409.0,0.0,0.0,11979.0,11980.030562,110.0,0.0,120409.0,0.0,0.0,Billion Btu
178,1994,MI,0.0,90764.0,0.0,758.0,5665.0,5664.15572,256.0,0.0,84316.0,0.0,0.0,Billion Btu
179,1994,MN,5993.0,68854.0,0.0,166.0,3885.0,3886.429738,341.0,0.0,53450.0,135.0,136.48568,Billion Btu
180,1994,MO,0.0,18901.0,0.0,52.0,6538.0,6537.664072,162.0,0.0,15914.0,0.0,0.0,Billion Btu
181,1994,MS,0.0,95092.0,0.0,101.0,0.0,0.0,10.0,0.0,94751.0,0.0,0.0,Billion Btu
182,1994,MT,249.0,10172.0,0.0,126.0,27806.0,27808.9573,1.0,0.0,10064.0,0.0,0.0,Billion Btu
183,1994,NC,0.0,113339.0,0.0,141.0,24540.0,24540.125264,164.0,0.0,112306.0,0.0,0.0,Billion Btu
184,1994,ND,2992.0,4211.0,0.0,129.0,6334.0,6332.935552,0.0,0.0,2308.0,0.0,0.0,Billion Btu
185,1994,NE,11539.0,11008.0,0.0,162.0,4476.0,4476.730304,16.0,0.0,4100.0,0.0,0.0,Billion Btu
186,1994,NH,0.0,25252.0,0.0,0.0,4986.0,4985.139462,30.0,0.0,25252.0,0.0,0.0,Billion Btu
187,1994,NJ,0.0,41040.0,0.0,72.0,51.0,51.182129999999994,482.0,17.06071,40712.0,0.0,0.0,Billion Btu
188,1994,NM,1727.0,5225.0,0.0,145.0,726.0,726.786246,590.0,0.0,3944.0,0.0,0.0,Billion Btu
189,1994,NV,0.0,3201.0,5101.15229,6082.0,6401.0,6401.178392,131.0,0.0,3201.0,0.0,0.0,Billion Btu
190,1994,NY,0.0,122702.0,0.0,154.0,94824.0,94826.838322,386.0,6.824284,121991.0,0.0,0.0,Billion Btu
191,1994,OH,8434.0,91752.0,0.0,493.0,654.0,655.131264,29.0,0.0,69012.0,0.0,0.0,Billion Btu
192,1994,OK,0.0,24095.0,0.0,1.0,8580.0,8581.537129999999,88.0,0.0,24095.0,0.0,0.0,Billion Btu
193,1994,OR,0.0,45054.0,0.0,409.0,106524.0,106527.07324,462.0,0.0,45054.0,0.0,0.0,Billion Btu
194,1994,PA,0.0,84884.0,0.0,304.0,9382.0,9383.3905,483.0,0.0,82955.0,0.0,0.0,Billion Btu
195,1994,RI,0.0,4926.0,0.0,0.0,32.0,30.709277999999998,43.0,0.0,4926.0,0.0,0.0,Billion Btu
196,1994,SC,0.0,83212.0,0.0,94.0,10355.0,10355.85097,16.0,0.0,83212.0,0.0,0.0,Billion Btu
197,1994,SD,1888.0,4751.0,0.0,233.0,17499.0,17500.876318,0.0,0.0,2057.0,0.0,0.0,Billion Btu
198,1994,TN,5427.0,61892.0,0.0,30.0,41039.0,41041.243976,60.0,0.0,56614.0,0.0,0.0,Billion Btu
199,1994,TX,0.0,98792.0,0.0,341.0,5222.0,5220.57726,459.0,3.412142,97504.0,0.0,0.0,Billion Btu
200,1994,US,188390.0,3027532.0,53007.625969999994,66221.0,887549.0,887586.849892,63410.0,1822.0838279999998,2839141.0,11762.0,11761.653473999999,Billion Btu
201,1994,UT,0.0,3552.0,665.3676899999999,1118.0,2560.0,2559.1065,51.0,0.0,3552.0,0.0,0.0,Billion Btu
202,1994,VA,572.0,111101.0,0.0,216.0,3911.0,3910.314732,131.0,0.0,109892.0,0.0,0.0,Billion Btu
203,1994,VT,0.0,8340.0,0.0,0.0,3544.0,3545.215538,13.0,0.0,8340.0,0.0,0.0,Billion Btu
